Longitude,NLDAS_X_Grid
-124.9375,1
-124.8125,2
-124.6875,3
-124.5625,4
-124.4375,5
-124.3125,6
-124.1875,7
-124.0625,8
-123.9375,9
-123.8125,10
-123.6875,11
-123.5625,12
-123.4375,13
-123.3125,14
-123.1875,15
-123.0625,16
-122.9375,17
-122.8125,18
-122.6875,19
-122.5625,20
-122.4375,21
-122.3125,22
-122.1875,23
-122.0625,24
-121.9375,25
-121.8125,26
-121.6875,27
-121.5625,28
-121.4375,29
-121.3125,30
-121.1875,31
-121.0625,32
-120.9375,33
-120.8125,34
-120.6875,35
-120.5625,36
-120.4375,37
-120.3125,38
-120.1875,39
-120.0625,40
-119.9375,41
-119.8125,42
-119.6875,43
-119.5625,44
-119.4375,45
-119.3125,46
-119.1875,47
-119.0625,48
-118.9375,49
-118.8125,50
-118.6875,51
-118.5625,52
-118.4375,53
-118.3125,54
-118.1875,55
-118.0625,56
-117.9375,57
-117.8125,58
-117.6875,59
-117.5625,60
-117.4375,61
-117.3125,62
-117.1875,63
-117.0625,64
-116.9375,65
-116.8125,66
-116.6875,67
-116.5625,68
-116.4375,69
-116.3125,70
-116.1875,71
-116.0625,72
-115.9375,73
-115.8125,74
-115.6875,75
-115.5625,76
-115.4375,77
-115.3125,78
-115.1875,79
-115.0625,80
-114.9375,81
-114.8125,82
-114.6875,83
-114.5625,84
-114.4375,85
-114.3125,86
-114.1875,87
-114.0625,88
-113.9375,89
-113.8125,90
-113.6875,91
-113.5625,92
-113.4375,93
-113.3125,94
-113.1875,95
-113.0625,96
-112.9375,97
-112.8125,98
-112.6875,99
-112.5625,100
-112.4375,101
-112.3125,102
-112.1875,103
-112.0625,104
-111.9375,105
-111.8125,106
-111.6875,107
-111.5625,108
-111.4375,109
-111.3125,110
-111.1875,111
-111.0625,112
-110.9375,113
-110.8125,114
-110.6875,115
-110.5625,116
-110.4375,117
-110.3125,118
-110.1875,119
-110.0625,120
-109.9375,121
-109.8125,122
-109.6875,123
-109.5625,124
-109.4375,125
-109.3125,126
-109.1875,127
-109.0625,128
-108.9375,129
-108.8125,130
-108.6875,131
-108.5625,132
-108.4375,133
-108.3125,134
-108.1875,135
-108.0625,136
-107.9375,137
-107.8125,138
-107.6875,139
-107.5625,140
-107.4375,141
-107.3125,142
-107.1875,143
-107.0625,144
-106.9375,145
-106.8125,146
-106.6875,147
-106.5625,148
-106.4375,149
-106.3125,150
-106.1875,151
-106.0625,152
-105.9375,153
-105.8125,154
-105.6875,155
-105.5625,156
-105.4375,157
-105.3125,158
-105.1875,159
-105.0625,160
-104.9375,161
-104.8125,162
-104.6875,163
-104.5625,164
-104.4375,165
-104.3125,166
-104.1875,167
-104.0625,168
-103.9375,169
-103.8125,170
-103.6875,171
-103.5625,172
-103.4375,173
-103.3125,174
-103.1875,175
-103.0625,176
-102.9375,177
-102.8125,178
-102.6875,179
-102.5625,180
-102.4375,181
-102.3125,182
-102.1875,183
-102.0625,184
-101.9375,185
-101.8125,186
-101.6875,187
-101.5625,188
-101.4375,189
-101.3125,190
-101.1875,191
-101.0625,192
-100.9375,193
-100.8125,194
-100.6875,195
-100.5625,196
-100.4375,197
-100.3125,198
-100.1875,199
-100.0625,200
-99.9375,201
-99.8125,202
-99.6875,203
-99.5625,204
-99.4375,205
-99.3125,206
-99.1875,207
-99.0625,208
-98.9375,209
-98.8125,210
-98.6875,211
-98.5625,212
-98.4375,213
-98.3125,214
-98.1875,215
-98.0625,216
-97.9375,217
-97.8125,218
-97.6875,219
-97.5625,220
-97.4375,221
-97.3125,222
-97.1875,223
-97.0625,224
-96.9375,225
-96.8125,226
-96.6875,227
-96.5625,228
-96.4375,229
-96.3125,230
-96.1875,231
-96.0625,232
-95.9375,233
-95.8125,234
-95.6875,235
-95.5625,236
-95.4375,237
-95.3125,238
-95.1875,239
-95.0625,240
-94.9375,241
-94.8125,242
-94.6875,243
-94.5625,244
-94.4375,245
-94.3125,246
-94.1875,247
-94.0625,248
-93.9375,249
-93.8125,250
-93.6875,251
-93.5625,252
-93.4375,253
-93.3125,254
-93.1875,255
-93.0625,256
-92.9375,257
-92.8125,258
-92.6875,259
-92.5625,260
-92.4375,261
-92.3125,262
-92.1875,263
-92.0625,264
-91.9375,265
-91.8125,266
-91.6875,267
-91.5625,268
-91.4375,269
-91.3125,270
-91.1875,271
-91.0625,272
-90.9375,273
-90.8125,274
-90.6875,275
-90.5625,276
-90.4375,277
-90.3125,278
-90.1875,279
-90.0625,280
-89.9375,281
-89.8125,282
-89.6875,283
-89.5625,284
-89.4375,285
-89.3125,286
-89.1875,287
-89.0625,288
-88.9375,289
-88.8125,290
-88.6875,291
-88.5625,292
-88.4375,293
-88.3125,294
-88.1875,295
-88.0625,296
-87.9375,297
-87.8125,298
-87.6875,299
-87.5625,300
-87.4375,301
-87.3125,302
-87.1875,303
-87.0625,304
-86.9375,305
-86.8125,306
-86.6875,307
-86.5625,308
-86.4375,309
-86.3125,310
-86.1875,311
-86.0625,312
-85.9375,313
-85.8125,314
-85.6875,315
-85.5625,316
-85.4375,317
-85.3125,318
-85.1875,319
-85.0625,320
-84.9375,321
-84.8125,322
-84.6875,323
-84.5625,324
-84.4375,325
-84.3125,326
-84.1875,327
-84.0625,328
-83.9375,329
-83.8125,330
-83.6875,331
-83.5625,332
-83.4375,333
-83.3125,334
-83.1875,335
-83.0625,336
-82.9375,337
-82.8125,338
-82.6875,339
-82.5625,340
-82.4375,341
-82.3125,342
-82.1875,343
-82.0625,344
-81.9375,345
-81.8125,346
-81.6875,347
-81.5625,348
-81.4375,349
-81.3125,350
-81.1875,351
-81.0625,352
-80.9375,353
-80.8125,354
-80.6875,355
-80.5625,356
-80.4375,357
-80.3125,358
-80.1875,359
-80.0625,360
-79.9375,361
-79.8125,362
-79.6875,363
-79.5625,364
-79.4375,365
-79.3125,366
-79.1875,367
-79.0625,368
-78.9375,369
-78.8125,370
-78.6875,371
-78.5625,372
-78.4375,373
-78.3125,374
-78.1875,375
-78.0625,376
-77.9375,377
-77.8125,378
-77.6875,379
-77.5625,380
-77.4375,381
-77.3125,382
-77.1875,383
-77.0625,384
-76.9375,385
-76.8125,386
-76.6875,387
-76.5625,388
-76.4375,389
-76.3125,390
-76.1875,391
-76.0625,392
-75.9375,393
-75.8125,394
-75.6875,395
-75.5625,396
-75.4375,397
-75.3125,398
-75.1875,399
-75.0625,400
-74.9375,401
-74.8125,402
-74.6875,403
-74.5625,404
-74.4375,405
-74.3125,406
-74.1875,407
-74.0625,408
-73.9375,409
-73.8125,410
-73.6875,411
-73.5625,412
-73.4375,413
-73.3125,414
-73.1875,415
-73.0625,416
-72.9375,417
-72.8125,418
-72.6875,419
-72.5625,420
-72.4375,421
-72.3125,422
-72.1875,423
-72.0625,424
-71.9375,425
-71.8125,426
-71.6875,427
-71.5625,428
-71.4375,429
-71.3125,430
-71.1875,431
-71.0625,432
-70.9375,433
-70.8125,434
-70.6875,435
-70.5625,436
-70.4375,437
-70.3125,438
-70.1875,439
-70.0625,440
-69.9375,441
-69.8125,442
-69.6875,443
-69.5625,444
-69.4375,445
-69.3125,446
-69.1875,447
-69.0625,448
-68.9375,449
-68.8125,450
-68.6875,451
-68.5625,452
-68.4375,453
-68.3125,454
-68.1875,455
-68.0625,456
-67.9375,457
-67.8125,458
-67.6875,459
-67.5625,460
-67.4375,461
-67.3125,462
-67.1875,463
-67.0625,464
