zone,size,NLDAS_X_Grid,NLDAS_Y_Grid,count,weight,file
1,170,257,157,6,0.0352941176470588,Output/APCPsfc-X257-Y157.txt
1,170,258,156,13,0.0764705882352941,Output/APCPsfc-X258-Y156.txt
1,170,258,157,59,0.347058823529412,Output/APCPsfc-X258-Y157.txt
1,170,259,156,11,0.0647058823529412,Output/APCPsfc-X259-Y156.txt
1,170,259,157,61,0.358823529411765,Output/APCPsfc-X259-Y157.txt
1,170,260,157,20,0.117647058823529,Output/APCPsfc-X260-Y157.txt
2,149,258,155,13,0.087248322147651,Output/APCPsfc-X258-Y155.txt
2,149,258,156,68,0.456375838926175,Output/APCPsfc-X258-Y156.txt
2,149,258,157,4,0.0268456375838926,Output/APCPsfc-X258-Y157.txt
2,149,259,155,3,0.0201342281879195,Output/APCPsfc-X259-Y155.txt
2,149,259,156,44,0.295302013422819,Output/APCPsfc-X259-Y156.txt
2,149,259,157,17,0.114093959731544,Output/APCPsfc-X259-Y157.txt
3,179,256,155,24,0.134078212290503,Output/APCPsfc-X256-Y155.txt
3,179,257,155,44,0.245810055865922,Output/APCPsfc-X257-Y155.txt
3,179,257,156,79,0.441340782122905,Output/APCPsfc-X257-Y156.txt
3,179,257,157,3,0.0167597765363128,Output/APCPsfc-X257-Y157.txt
3,179,258,155,10,0.0558659217877095,Output/APCPsfc-X258-Y155.txt
3,179,258,156,19,0.106145251396648,Output/APCPsfc-X258-Y156.txt
4,90,256,157,8,0.0888888888888889,Output/APCPsfc-X256-Y157.txt
4,90,257,157,57,0.633333333333333,Output/APCPsfc-X257-Y157.txt
4,90,258,157,25,0.277777777777778,Output/APCPsfc-X258-Y157.txt
5,177,255,156,25,0.141242937853107,Output/APCPsfc-X255-Y156.txt
5,177,255,157,29,0.163841807909605,Output/APCPsfc-X255-Y157.txt
5,177,256,156,35,0.19774011299435,Output/APCPsfc-X256-Y156.txt
5,177,256,157,58,0.327683615819209,Output/APCPsfc-X256-Y157.txt
5,177,257,156,9,0.0508474576271186,Output/APCPsfc-X257-Y156.txt
5,177,257,157,21,0.11864406779661,Output/APCPsfc-X257-Y157.txt
6,150,255,155,32,0.213333333333333,Output/APCPsfc-X255-Y155.txt
6,150,255,156,12,0.08,Output/APCPsfc-X255-Y156.txt
6,150,256,155,29,0.193333333333333,Output/APCPsfc-X256-Y155.txt
6,150,256,156,65,0.433333333333333,Output/APCPsfc-X256-Y156.txt
6,150,257,156,12,0.08,Output/APCPsfc-X257-Y156.txt
7,199,254,154,40,0.201005025125628,Output/APCPsfc-X254-Y154.txt
7,199,254,155,13,0.0653266331658292,Output/APCPsfc-X254-Y155.txt
7,199,255,153,1,0.0050251256281407,Output/APCPsfc-X255-Y153.txt
7,199,255,154,79,0.396984924623116,Output/APCPsfc-X255-Y154.txt
7,199,255,155,33,0.165829145728643,Output/APCPsfc-X255-Y155.txt
7,199,256,153,1,0.0050251256281407,Output/APCPsfc-X256-Y153.txt
7,199,256,154,30,0.150753768844221,Output/APCPsfc-X256-Y154.txt
7,199,256,155,2,0.0100502512562814,Output/APCPsfc-X256-Y155.txt
8,308,252,153,10,0.0324675324675325,Output/APCPsfc-X252-Y153.txt
8,308,252,154,3,0.00974025974025974,Output/APCPsfc-X252-Y154.txt
8,308,253,153,73,0.237012987012987,Output/APCPsfc-X253-Y153.txt
8,308,253,154,26,0.0844155844155844,Output/APCPsfc-X253-Y154.txt
8,308,254,153,73,0.237012987012987,Output/APCPsfc-X254-Y153.txt
8,308,254,154,25,0.0811688311688312,Output/APCPsfc-X254-Y154.txt
8,308,255,153,68,0.220779220779221,Output/APCPsfc-X255-Y153.txt
8,308,255,154,5,0.0162337662337662,Output/APCPsfc-X255-Y154.txt
8,308,256,153,25,0.0811688311688312,Output/APCPsfc-X256-Y153.txt
9,352,254,151,30,0.0852272727272727,Output/APCPsfc-X254-Y151.txt
9,352,254,152,72,0.204545454545455,Output/APCPsfc-X254-Y152.txt
9,352,254,153,25,0.0710227272727273,Output/APCPsfc-X254-Y153.txt
9,352,255,151,31,0.0880681818181818,Output/APCPsfc-X255-Y151.txt
9,352,255,152,100,0.284090909090909,Output/APCPsfc-X255-Y152.txt
9,352,255,153,31,0.0880681818181818,Output/APCPsfc-X255-Y153.txt
9,352,256,151,10,0.0284090909090909,Output/APCPsfc-X256-Y151.txt
9,352,256,152,45,0.127840909090909,Output/APCPsfc-X256-Y152.txt
9,352,256,153,8,0.0227272727272727,Output/APCPsfc-X256-Y153.txt
10,94,254,156,13,0.138297872340426,Output/APCPsfc-X254-Y156.txt
10,94,254,157,33,0.351063829787234,Output/APCPsfc-X254-Y157.txt
10,94,255,156,11,0.117021276595745,Output/APCPsfc-X255-Y156.txt
10,94,255,157,37,0.393617021276596,Output/APCPsfc-X255-Y157.txt
11,257,253,155,3,0.0116731517509728,Output/APCPsfc-X253-Y155.txt
11,257,253,156,60,0.233463035019455,Output/APCPsfc-X253-Y156.txt
11,257,253,157,2,0.00778210116731518,Output/APCPsfc-X253-Y157.txt
11,257,254,155,32,0.124513618677043,Output/APCPsfc-X254-Y155.txt
11,257,254,156,87,0.33852140077821,Output/APCPsfc-X254-Y156.txt
11,257,254,157,3,0.0116731517509728,Output/APCPsfc-X254-Y157.txt
11,257,255,155,18,0.0700389105058366,Output/APCPsfc-X255-Y155.txt
11,257,255,156,52,0.202334630350195,Output/APCPsfc-X255-Y156.txt
12,360,251,154,25,0.0694444444444444,Output/APCPsfc-X251-Y154.txt
12,360,252,154,81,0.225,Output/APCPsfc-X252-Y154.txt
12,360,252,155,16,0.0444444444444444,Output/APCPsfc-X252-Y155.txt
12,360,253,154,74,0.205555555555556,Output/APCPsfc-X253-Y154.txt
12,360,253,155,74,0.205555555555556,Output/APCPsfc-X253-Y155.txt
12,360,254,154,35,0.0972222222222222,Output/APCPsfc-X254-Y154.txt
12,360,254,155,55,0.152777777777778,Output/APCPsfc-X254-Y155.txt
13,267,250,154,13,0.048689138576779,Output/APCPsfc-X250-Y154.txt
13,267,250,155,21,0.0786516853932584,Output/APCPsfc-X250-Y155.txt
13,267,251,154,13,0.048689138576779,Output/APCPsfc-X251-Y154.txt
13,267,251,155,69,0.258426966292135,Output/APCPsfc-X251-Y155.txt
13,267,251,156,2,0.00749063670411985,Output/APCPsfc-X251-Y156.txt
13,267,252,155,84,0.314606741573034,Output/APCPsfc-X252-Y155.txt
13,267,252,156,30,0.112359550561798,Output/APCPsfc-X252-Y156.txt
13,267,253,155,23,0.0861423220973783,Output/APCPsfc-X253-Y155.txt
13,267,253,156,12,0.0449438202247191,Output/APCPsfc-X253-Y156.txt
